用户名,评论时间,评论内容
此次热可可,2020.09.17 11:12,法国著名社会心理学家勒庞，以研究大众心理学著称。他认为现代生活逐渐以群体聚合为特征。在《乌合之众》中他指出个人一旦进入群体中，他的个性便湮灭，群体的思想占据主导地位；而群体的行为表现为无异议、情绪化和低智商。快开始阅读吧！绝对不虚此行
happyant521,2021.02.05 06:06,真的能回复耶！哈哈
15534078485,2021.03.12 16:27,评论区+1楼
xj123456,2021.05.14 09:53,到此 一游，哈哈哈哈
favor,2020.09.17 11:10,花了大概两周的时间读完了这本书。我始终坚持开卷有益。《乌合之众》，从初读时的惊心动魄，到合上书时的冷静。保持独立思考，不论何时何地，如此重要。这就算是这本书带给我的最大收获。
猜猜猜,2020.09.17 11:08,我们总是生活在群体之中，本书提醒我们跳出群体之外，冷静的观察我们所处的群体，冷静的分析群体中的领袖，若“领袖”的动员手段，只是“断言、重复、传染”，那我们可能就要逃离这样的群体，这样的群体可能就会有野蛮的特性。读完这本《乌合之众》，我更清晰的理解潮流、谣言及恐慌。
xnckkr,2020.09.17 11:08,实在是一本发人深省的好书！它正如一面双刃剑，《乌合之众》能让人警醒，也能让野心家找到掌控群众的方法。它提到“只要掌握了影响群众想象力的艺术，也就掌握了统治他们的艺术。”书中谈到如何让群众接受自己观念，”改造，改造的方向必须是低俗化和简单化。”
xnxoekel,2020.09.17 11:05,读完此书，有些作者的观点我不是很赞同。不同的群体会有不同的特性，把群体统称为乌合之众，显得简单粗暴。书中列举的各种例子，只选取符合书中描写群体特性的历史事件，更多不符合特性的历史事件就未被提及。尽管书中的观点显得偏颇，但依然是值得认真读的一本书，其中很多观点更是为我们敲响警钟。
车车,2020.09.17 11:00,本书语言简单通俗直接，一路读下来的感受，可以用惊心动魄来形容，看着书上总结的群体特性，联想着现代中国发生的红卫兵破“四旧”、以及文革中的种种恶行，还有近期新闻中的各种群体事件：例如砸“日系”车辆、各种传销组织等。对于勒庞的总结，我内心是频频点头。几乎认同群体就是野蛮的原始人。
cncikrlr,2020.09.17 10:59,《乌合之众》是法国社会学家古斯塔夫.勒庞，于1895年首次出版的一部研究群众心理的著作。开篇就是一个定义：许多人凑在一起，就叫群体。群体是个活的生物，有自己的感情，有自己的思想，即群体心理。接下来会有什么样精彩的内容呢？一起看看吧
吹健康,2020.09.17 10:58,“群体是无名的因此也无需承担责任，然后一直控制着个体的那种责任感便消失了”，面对这样的情况我们能做些什么呢？无非是在看似主流的群体浪潮里，保持独立思考和辨别是非的能力，不做“乌合之众”中的一员。看看这本书吧！它不会让你失望的
xncokrkr,2020.09.17 10:57,本书作者勒庞在书中有许多令人深思的句子：当一个人成为了群体中的一员，他的意识人格就消失了，智力、判断力水平都在飞速降低，只有情绪在不断放大，表现为冲动、多变、易怒、轻信、野蛮及破坏性的特质，换句话说，也就是回归了我们动物性的本能，所有来自道德的限制在群体组织中将不复存在。实在是妙！
xnckem,2020.09.17 10:55,百忙之中抽空看完了《乌合之众》这本书，我不禁震撼于勒庞洞悉群众心理的细致程度以及超前性，要知道，本书的创作背景是法国的文化大革命，但书中的诸多理论，放到当下社会也绝不过时，甚至可以轻易解释一些时常发生的“荒唐”事件.发人深省
